,Hora_Salida,Destino,Origen,Hora_Llegada,Desde
0,01:15,YUL,MEX,07:25,4396
1,06:01,DEN,MEX,15:12,6440
2,06:01,JFK,MEX,14:30,16235
3,06:01,LAS,MEX,14:14,10821
4,06:01,LAX,MEX,10:15,6412
5,06:01,MCO,MEX,15:26,19458
6,06:01,MIA,MEX,16:01,28710
7,06:01,ORD,MEX,15:45,9490
8,06:01,SFO,MEX,10:50,9379
9,06:30,CUN,MEX,10:05,7990
10,06:30,DEN,MEX,15:12,6440
11,06:30,JFK,MEX,14:30,16235
12,06:30,LAS,MEX,12:25,9277
13,06:30,LAX,MEX,11:10,6412
14,06:30,ORD,MEX,16:18,17678
15,06:30,SFO,MEX,16:05,9490
16,07:00,DEN,MEX,14:27,6440
17,07:00,JFK,MEX,14:30,18692
18,07:00,LAS,MEX,12:25,10710
19,07:00,LAX,MEX,11:10,6412
20,07:00,MCO,MEX,15:26,12622
21,07:00,MIA,MEX,16:01,25640
22,07:00,ORD,MEX,14:25,9490
23,07:00,SFO,MEX,16:05,9490
24,07:10,MIA,MEX,11:30,10873
25,07:15,JFK,MEX,13:00,9277
26,07:20,DEN,MEX,17:38,6440
27,07:20,LAS,MEX,14:14,9388
28,07:20,LAX,MEX,09:25,6412
29,07:20,SFO,MEX,14:27,9490
30,07:30,CUN,MEX,10:56,5577
31,07:30,JFK,MEX,18:17,28415
32,07:30,LAX,MEX,22:40,33131
33,08:00,CUN,MEX,11:34,4823
34,08:00,JFK,MEX,18:17,27084
35,08:00,LAS,MEX,12:25,12757
36,08:00,LAX,MEX,16:05,24075
37,08:00,MCO,MEX,20:01,32332
38,08:40,JFK,MEX,21:45,8569
39,09:00,LAS,MEX,11:28,9277
40,09:00,LAX,MEX,16:05,13236
41,09:00,ORD,MEX,13:25,9379
42,09:00,SFO,MEX,12:11,9379
43,09:05,DEN,MEX,19:14,16654
44,09:05,JFK,MEX,17:35,18803
45,09:05,MCO,MEX,17:28,12622
46,09:05,MIA,MEX,17:03,25640
47,09:05,ORD,MEX,17:06,10513
48,09:05,SFO,MEX,19:30,10513
49,09:15,MCO,MEX,13:30,9645
50,09:20,JFK,MEX,15:20,7782
51,09:25,CUN,MEX,13:04,6041
52,09:25,JFK,MEX,18:17,28415
53,09:25,LAX,MEX,18:12,33020
54,09:25,ORD,MEX,21:47,28852
55,09:35,DEN,MEX,17:38,8077
56,09:35,LAX,MEX,12:03,6412
57,09:35,SFO,MEX,16:32,9490
58,10:00,MCO,MEX,01:05,9756
59,10:00,ORD,MEX,20:38,25763
60,10:05,JFK,MEX,22:34,14096
61,10:20,HAV,MEX,14:05,6198
62,10:35,CUN,MEX,14:05,4823
63,10:35,LAX,MEX,18:12,33020
64,10:35,ORD,MEX,21:47,28546
65,10:40,LAX,MEX,17:58,24485
66,11:00,MCO,MEX,01:05,9756
67,11:05,LAX,MEX,16:05,23481
68,11:05,MCO,MEX,00:07,19458
69,11:05,ORD,MEX,20:09,17678
70,11:30,CUN,MEX,14:55,4475
71,11:30,DEN,MEX,22:05,28689
72,11:30,LAS,MEX,21:21,32619
73,11:30,LAX,MEX,18:12,33020
74,11:30,MCO,MEX,22:58,34051
75,11:30,SFO,MEX,23:50,30203
76,11:50,DEN,MEX,19:14,16654
77,11:50,JFK,MEX,20:10,16346
78,11:50,MCO,MEX,20:01,10984
79,11:50,MIA,MEX,00:35,25640
80,11:50,ORD,MEX,20:09,9490
81,11:50,SFO,MEX,22:37,9490
82,12:05,MIA,MEX,16:20,5552
83,12:25,CUN,MEX,15:50,4127
84,12:25,JFK,MEX,23:55,26786
85,12:25,MCO,MEX,00:07,33643
86,12:30,LAS,MEX,14:35,9277
87,12:30,LAX,MEX,18:18,13236
88,12:35,LAX,MEX,17:58,24075
89,12:40,DEN,MEX,22:05,29692
90,12:40,LAS,MEX,21:21,31637
91,12:40,LAX,MEX,21:20,23592
92,12:40,SFO,MEX,23:50,25476
93,13:00,CUN,MEX,20:55,14180
94,13:15,JFK,MEX,22:32,33745
95,13:15,LAX,MEX,22:40,19888
96,13:15,ORD,MEX,20:38,17678
97,13:20,DEN,MEX,22:10,16654
98,13:20,JFK,MEX,21:51,16346
99,13:20,MCO,MEX,20:59,10984
100,13:20,MIA,MEX,00:35,10984
101,13:20,ORD,MEX,21:13,9490
102,13:20,SFO,MEX,22:37,9490
103,13:30,CUN,MEX,17:00,3605
104,13:30,MAD,MEX,13:45,64640
105,13:50,MCO,MEX,18:05,5653
106,13:55,LAX,MEX,16:15,6412
107,14:00,CUN,MEX,20:55,8192
108,14:20,ORD,MEX,21:47,9490
109,14:40,CUN,MEX,18:05,3373
110,14:40,MAD,MEX,13:45,64640
111,15:00,CUN,MEX,20:55,8192
112,15:00,JFK,MEX,20:54,11344
113,15:25,YUL,MEX,21:45,4396
114,15:30,CUN,MEX,19:00,3837
115,15:30,MAD,MEX,13:45,64640
116,15:40,DEN,MEX,22:05,16654
117,15:40,JFK,MEX,05:35,16346
118,15:40,LAS,MEX,21:21,10821
119,15:40,LAX,MEX,21:20,13236
120,15:40,SFO,MEX,23:50,9490
121,16:00,MCO,MEX,00:07,9756
122,16:00,MIA,MEX,00:35,25640
123,16:00,ORD,MEX,23:44,9379
124,16:30,ORD,MEX,23:59,9379
125,16:45,LAX,MEX,19:08,7025
126,17:00,ORD,MEX,23:59,9379
127,17:30,CUN,MEX,20:55,4823
128,17:40,YYZ,MEX,23:30,4893
129,18:10,JFK,MEX,00:10,8458
130,18:25,BCN,MEX,17:05,37807
131,18:30,CUN,MEX,22:00,4475
132,18:30,SFO,MEX,21:45,9379
133,18:45,BCN,MEX,16:25,37758
134,18:45,MAD,MEX,12:30,37561
135,18:45,MUC,MEX,17:35,26128
136,18:50,HAV,MEX,22:45,8143
137,19:00,CUN,MEX,22:25,3837
138,19:00,JFK,MEX,12:10,27084
139,19:00,MCO,MEX,13:19,34461
140,19:00,MIA,MEX,23:20,5245
141,19:00,ORD,MEX,13:16,27645
142,19:30,CUN,MEX,23:00,3373
143,19:30,DEN,MEX,19:06,27482
144,19:30,JFK,MEX,12:10,27084
145,19:30,MCO,MEX,13:19,34461
146,19:30,MIA,MEX,15:59,24289
147,19:30,ORD,MEX,13:16,27645
148,19:30,SFO,MEX,17:36,29630
149,19:40,LAS,MEX,10:15,9388
150,19:40,LAX,MEX,22:00,6412
151,20:00,CUN,MEX,14:20,14180
152,20:00,JFK,MEX,14:30,16235
153,20:00,LAS,MEX,14:13,9388
154,20:00,LAX,MEX,10:15,6412
155,20:00,SFO,MEX,10:50,9379
156,21:00,CUN,MEX,14:20,8192
157,21:00,DEN,MEX,15:14,4599
158,21:00,JFK,MEX,14:30,7893
159,21:00,LAS,MEX,14:13,5703
160,21:00,LAX,MEX,10:15,6412
161,21:00,ORD,MEX,16:16,9490
162,21:00,SFO,MEX,10:50,9379
163,21:35,CUN,MEX,00:55,3605
164,21:35,DEN,MEX,15:14,27482
165,21:35,JFK,MEX,12:10,24801
166,21:35,MCO,MEX,13:19,32066
167,21:35,MIA,MEX,15:59,22304
168,21:35,ORD,MEX,13:16,27645
169,21:35,SFO,MEX,17:36,29630
170,21:55,MUC,MEX,19:15,26147
171,22:00,CUN,MEX,14:20,9876
172,22:00,DEN,MEX,15:14,4599
173,22:00,JFK,MEX,14:30,8569
174,22:00,LAS,MEX,14:13,4373
175,22:00,LAX,MEX,10:15,6412
176,22:00,MIA,MEX,15:59,25640
177,22:00,ORD,MEX,15:00,9490
178,22:00,SFO,MEX,10:50,9379
179,23:30,MUC,MEX,19:15,26147
180,23:55,BCN,MEX,22:55,37807
181,23:55,YYZ,MEX,05:55,4893
