,Hora_Salida,Destino,Origen,Hora_Llegada,Desde,Name,Lat,Lon
0,01:15,YUL,MEX,07:25,4328,AMX,45.46561,-73.745299
1,06:01,DEN,MEX,15:12,4624,AMX,39.856121,-104.673641
2,06:01,JFK,MEX,14:30,27145,AMX,40.641235,-73.778263
3,06:01,LAS,MEX,14:14,5707,AMX,36.084026,-115.153889
4,06:01,LAX,MEX,10:15,6400,AMX,33.941562,-118.408412
5,06:01,MCO,MEX,15:26,19071,AMX,28.431205,-81.308008
6,06:01,MIA,MEX,16:01,28227,AMX,25.795814,-80.287169
7,06:01,ORD,MEX,15:45,17428,AMX,41.974166,-87.9073
8,06:01,SFO,MEX,10:50,9305,AMX,37.621313,-122.378988
9,06:30,CUN,MEX,10:05,7990,AMX,21.040358,-86.873455
10,06:30,DEN,MEX,15:12,4624,AMX,39.856121,-104.673641
11,06:30,JFK,MEX,14:30,33048,AMX,40.641235,-73.778263
12,06:30,LAS,MEX,12:25,5707,AMX,36.084026,-115.153889
13,06:30,LAX,MEX,11:10,6400,AMX,33.941562,-118.408412
14,06:30,ORD,MEX,16:18,17428,AMX,41.974166,-87.9073
15,06:30,SFO,MEX,16:05,9413,AMX,37.621313,-122.378988
16,07:00,DEN,MEX,14:27,4624,AMX,39.856121,-104.673641
17,07:00,JFK,MEX,14:30,9314,AMX,40.641235,-73.778263
18,07:00,LAS,MEX,12:25,6200,AMX,36.084026,-115.153889
19,07:00,LAX,MEX,11:10,6400,AMX,33.941562,-118.408412
20,07:00,MCO,MEX,15:26,9574,AMX,28.431205,-81.308008
21,07:00,MIA,MEX,16:01,8572,AMX,25.795814,-80.287169
22,07:00,ORD,MEX,14:25,9413,AMX,41.974166,-87.9073
23,07:00,SFO,MEX,16:05,9413,AMX,37.621313,-122.378988
24,07:10,MIA,MEX,11:30,19703,AMX,25.795814,-80.287169
25,07:15,JFK,MEX,13:00,9206,AMX,40.641235,-73.778263
26,07:20,DEN,MEX,17:38,7029,AMX,39.856121,-104.673641
27,07:20,LAS,MEX,14:14,10715,AMX,36.084026,-115.153889
28,07:20,LAX,MEX,09:25,6400,AMX,33.941562,-118.408412
29,07:20,SFO,MEX,14:27,9413,AMX,37.621313,-122.378988
30,07:30,CUN,MEX,10:56,6041,AMX,21.040358,-86.873455
31,07:30,JFK,MEX,18:17,27738,AMX,40.641235,-73.778263
32,07:30,LAX,MEX,22:40,32154,AMX,33.941562,-118.408412
33,08:00,CUN,MEX,11:34,6041,AMX,21.040358,-86.873455
34,08:00,JFK,MEX,18:17,27738,AMX,40.641235,-73.778263
35,08:00,LAS,MEX,12:25,9206,AMX,36.084026,-115.153889
36,08:00,LAX,MEX,16:09,24092,AMX,33.941562,-118.408412
37,08:00,MCO,MEX,20:01,33757,AMX,28.431205,-81.308008
38,08:40,JFK,MEX,21:45,16126,AMX,40.641235,-73.778263
39,09:00,LAS,MEX,11:28,9206,AMX,36.084026,-115.153889
40,09:00,LAX,MEX,16:09,13079,AMX,33.941562,-118.408412
41,09:00,ORD,MEX,13:25,9305,AMX,41.974166,-87.9073
42,09:00,SFO,MEX,12:11,9305,AMX,37.621313,-122.378988
43,09:05,DEN,MEX,19:14,14923,AMX,39.856121,-104.673641
44,09:05,JFK,MEX,17:35,27145,AMX,40.641235,-73.778263
45,09:05,MCO,MEX,17:28,19071,AMX,28.431205,-81.308008
46,09:05,MIA,MEX,17:03,25221,AMX,25.795814,-80.287169
47,09:05,ORD,MEX,17:06,13922,AMX,41.974166,-87.9073
48,09:05,SFO,MEX,19:30,10415,AMX,37.621313,-122.378988
49,09:15,MCO,MEX,13:30,12270,AMX,28.431205,-81.308008
50,09:20,JFK,MEX,15:20,9206,AMX,40.641235,-73.778263
51,09:25,CUN,MEX,13:04,7990,AMX,21.040358,-86.873455
52,09:25,JFK,MEX,18:17,27738,AMX,40.641235,-73.778263
53,09:25,LAX,MEX,18:12,32446,AMX,33.941562,-118.408412
54,09:25,ORD,MEX,21:47,29129,AMX,41.974166,-87.9073
55,09:35,DEN,MEX,17:38,14923,AMX,39.856121,-104.673641
56,09:35,LAX,MEX,12:03,7001,AMX,33.941562,-118.408412
57,09:35,SFO,MEX,16:32,9413,AMX,37.621313,-122.378988
58,10:00,JFK,MEX,22:32,33156,AMX,40.641235,-73.778263
59,10:00,MCO,MEX,01:05,5666,AMX,28.431205,-81.308008
60,10:00,ORD,MEX,20:38,17428,AMX,41.974166,-87.9073
61,10:05,JFK,MEX,22:34,13922,AMX,40.641235,-73.778263
62,10:20,HAV,MEX,14:05,10919,AMX,22.991455,-82.410321
63,10:40,LAX,MEX,17:58,24493,AMX,33.941562,-118.408412
64,11:00,MCO,MEX,01:05,5666,AMX,28.431205,-81.308008
65,11:05,JFK,MEX,22:32,33156,AMX,40.641235,-73.778263
66,11:05,LAX,MEX,16:05,23130,AMX,33.941562,-118.408412
67,11:05,MCO,MEX,00:07,12378,AMX,28.431205,-81.308008
68,11:05,ORD,MEX,20:09,10415,AMX,41.974166,-87.9073
69,11:30,CUN,MEX,14:55,5577,AMX,21.040358,-86.873455
70,11:30,DEN,MEX,22:05,28207,AMX,39.856121,-104.673641
71,11:30,LAS,MEX,21:21,32054,AMX,36.084026,-115.153889
72,11:30,LAX,MEX,18:12,32046,AMX,33.941562,-118.408412
73,11:30,MCO,MEX,22:58,33757,AMX,28.431205,-81.308008
74,11:30,SFO,MEX,23:50,30010,AMX,37.621313,-122.378988
75,11:50,DEN,MEX,19:14,14923,AMX,39.856121,-104.673641
76,11:50,JFK,MEX,20:10,18530,AMX,40.641235,-73.778263
77,11:50,MCO,MEX,20:01,12378,AMX,28.431205,-81.308008
78,11:50,MIA,MEX,00:35,25221,AMX,25.795814,-80.287169
79,11:50,ORD,MEX,20:09,10415,AMX,41.974166,-87.9073
80,11:50,SFO,MEX,22:37,10415,AMX,37.621313,-122.378988
81,12:05,MIA,MEX,16:20,8464,AMX,25.795814,-80.287169
82,12:25,CUN,MEX,15:50,4823,AMX,21.040358,-86.873455
83,12:25,JFK,MEX,23:55,27846,AMX,40.641235,-73.778263
84,12:25,MCO,MEX,00:07,33757,AMX,28.431205,-81.308008
85,12:30,LAS,MEX,14:35,9206,AMX,36.084026,-115.153889
86,12:30,LAX,MEX,18:18,13079,AMX,33.941562,-118.408412
87,12:35,LAX,MEX,17:58,24092,AMX,33.941562,-118.408412
88,12:40,DEN,MEX,22:05,29469,AMX,39.856121,-104.673641
89,12:40,LAS,MEX,21:21,31553,AMX,36.084026,-115.153889
90,12:40,LAX,MEX,21:20,23238,AMX,33.941562,-118.408412
91,12:40,SFO,MEX,23:50,25482,AMX,37.621313,-122.378988
92,13:00,CUN,MEX,20:55,14180,AMX,21.040358,-86.873455
93,13:15,JFK,MEX,22:32,33156,AMX,40.641235,-73.778263
94,13:15,LAX,MEX,22:40,19592,AMX,33.941562,-118.408412
95,13:15,ORD,MEX,20:38,17428,AMX,41.974166,-87.9073
96,13:20,DEN,MEX,22:10,14923,AMX,39.856121,-104.673641
97,13:20,JFK,MEX,21:51,16126,AMX,40.641235,-73.778263
98,13:20,MCO,MEX,20:59,12378,AMX,28.431205,-81.308008
99,13:20,MIA,MEX,00:35,19811,AMX,25.795814,-80.287169
100,13:20,ORD,MEX,21:13,9413,AMX,41.974166,-87.9073
101,13:20,SFO,MEX,22:37,9413,AMX,37.621313,-122.378988
102,13:30,CUN,MEX,17:00,4475,AMX,21.040358,-86.873455
103,13:30,MAD,MEX,13:45,62797,AMX,40.498324,-3.567469
104,13:50,MCO,MEX,18:05,9466,AMX,28.431205,-81.308008
105,13:55,LAX,MEX,16:15,7001,AMX,33.941562,-118.408412
106,14:00,CUN,MEX,20:55,8192,AMX,21.040358,-86.873455
107,14:20,ORD,MEX,21:47,9413,AMX,41.974166,-87.9073
108,14:40,CUN,MEX,18:05,4475,AMX,21.040358,-86.873455
109,14:40,MAD,MEX,13:45,62797,AMX,40.498324,-3.567469
110,15:00,CUN,MEX,20:55,8192,AMX,21.040358,-86.873455
111,15:00,JFK,MEX,20:54,9025,AMX,40.641235,-73.778263
112,15:25,YUL,MEX,21:45,4328,AMX,45.46561,-73.745299
113,15:30,CUN,MEX,19:00,4475,AMX,21.040358,-86.873455
114,15:30,MAD,MEX,13:45,62797,AMX,40.498324,-3.567469
115,15:40,DEN,MEX,22:05,6328,AMX,39.856121,-104.673641
116,15:40,JFK,MEX,05:35,16126,AMX,40.641235,-73.778263
117,15:40,LAS,MEX,21:21,10715,AMX,36.084026,-115.153889
118,15:40,LAX,MEX,21:20,7109,AMX,33.941562,-118.408412
119,15:40,SFO,MEX,23:50,9413,AMX,37.621313,-122.378988
120,16:00,MCO,MEX,00:07,5666,AMX,28.431205,-81.308008
121,16:00,MIA,MEX,00:35,9213,AMX,25.795814,-80.287169
122,16:00,ORD,MEX,23:44,9305,AMX,41.974166,-87.9073
123,16:30,ORD,MEX,23:59,9305,AMX,41.974166,-87.9073
124,16:45,LAX,MEX,19:08,7001,AMX,33.941562,-118.408412
125,17:00,ORD,MEX,23:59,9305,AMX,41.974166,-87.9073
126,17:30,CUN,MEX,20:55,6505,AMX,21.040358,-86.873455
127,17:40,YYZ,MEX,23:30,4813,AMX,43.677764,-79.624959
128,18:10,JFK,MEX,00:10,8404,AMX,40.641235,-73.778263
129,18:25,BCN,MEX,17:05,36534,AMX,41.297781,2.08353
130,18:30,CUN,MEX,22:00,5577,AMX,21.040358,-86.873455
131,18:30,SFO,MEX,21:45,9305,AMX,37.621313,-122.378988
132,18:45,BCN,MEX,16:25,36485,AMX,41.297781,2.08353
133,18:45,MAD,MEX,12:30,36290,AMX,40.498324,-3.567469
134,18:45,MUC,MEX,17:35,25600,AMX,48.353598,11.775135
135,18:50,HAV,MEX,22:45,12442,AMX,22.991455,-82.410321
136,19:00,CUN,MEX,22:25,4475,AMX,21.040358,-86.873455
137,19:00,JFK,MEX,12:10,27738,AMX,40.641235,-73.778263
138,19:00,MCO,MEX,13:19,33757,AMX,28.431205,-81.308008
139,19:00,MIA,MEX,23:20,19703,AMX,25.795814,-80.287169
140,19:00,ORD,MEX,13:16,29129,AMX,41.974166,-87.9073
141,19:40,CUN,MEX,23:10,4475,AMX,21.040358,-86.873455
142,19:40,DEN,MEX,19:06,28567,AMX,39.856121,-104.673641
143,19:40,JFK,MEX,12:10,27738,AMX,40.641235,-73.778263
144,19:40,LAS,MEX,10:15,10715,AMX,36.084026,-115.153889
145,19:40,LAX,MEX,22:00,7001,AMX,33.941562,-118.408412
146,19:40,MCO,MEX,13:19,33757,AMX,28.431205,-81.308008
147,19:40,ORD,MEX,13:16,29129,AMX,41.974166,-87.9073
148,19:40,SFO,MEX,17:36,31072,AMX,37.621313,-122.378988
149,20:10,CUN,MEX,14:20,14180,AMX,21.040358,-86.873455
150,20:10,JFK,MEX,14:30,18422,AMX,40.641235,-73.778263
151,20:10,LAS,MEX,14:13,10715,AMX,36.084026,-115.153889
152,20:10,LAX,MEX,10:15,6400,AMX,33.941562,-118.408412
153,20:10,SFO,MEX,14:20,9413,AMX,37.621313,-122.378988
154,20:15,JFK,MEX,14:30,13814,AMX,40.641235,-73.778263
155,20:15,LAX,MEX,11:10,15516,AMX,33.941562,-118.408412
156,20:15,SFO,MEX,10:50,17320,AMX,37.621313,-122.378988
157,21:00,CUN,MEX,14:20,9120,AMX,21.040358,-86.873455
158,21:00,DEN,MEX,15:14,4624,AMX,39.856121,-104.673641
159,21:00,JFK,MEX,14:30,16126,AMX,40.641235,-73.778263
160,21:00,LAS,MEX,14:13,4905,AMX,36.084026,-115.153889
161,21:00,LAX,MEX,10:15,6400,AMX,33.941562,-118.408412
162,21:00,ORD,MEX,16:16,9413,AMX,41.974166,-87.9073
163,21:00,SFO,MEX,10:50,9305,AMX,37.621313,-122.378988
164,21:35,CUN,MEX,00:55,4475,AMX,21.040358,-86.873455
165,21:35,DEN,MEX,15:14,28567,AMX,39.856121,-104.673641
166,21:35,JFK,MEX,12:10,27738,AMX,40.641235,-73.778263
167,21:35,MCO,MEX,13:19,33757,AMX,28.431205,-81.308008
168,21:35,ORD,MEX,13:16,29129,AMX,41.974166,-87.9073
169,21:35,SFO,MEX,17:36,30671,AMX,37.621313,-122.378988
170,21:55,MUC,MEX,19:15,25620,AMX,48.353598,11.775135
171,22:00,CUN,MEX,14:20,12324,AMX,21.040358,-86.873455
172,22:00,DEN,MEX,15:14,4624,AMX,39.856121,-104.673641
173,22:00,JFK,MEX,14:30,16126,AMX,40.641235,-73.778263
174,22:00,LAS,MEX,14:13,4405,AMX,36.084026,-115.153889
175,22:00,LAX,MEX,10:15,6400,AMX,33.941562,-118.408412
176,22:00,MIA,MEX,15:59,10776,AMX,25.795814,-80.287169
177,22:00,ORD,MEX,15:00,9413,AMX,41.974166,-87.9073
178,22:00,SFO,MEX,10:50,9305,AMX,37.621313,-122.378988
179,23:30,MUC,MEX,19:15,25620,AMX,48.353598,11.775135
180,23:55,BCN,MEX,22:55,36534,AMX,41.297781,2.08353
181,23:55,YYZ,MEX,05:55,12968,AMX,43.677764,-79.624959
182,04:50,BCN, MEX,12:50,16695,AVI,41.297781,2.08353
183,04:50,DEN, MEX,16:49,18850,AVI,39.856121,-104.673641
184,04:50,HAV, MEX,12:00,13108,AVI,22.991455,-82.410321
185,04:50,JFK, MEX,21:00,7375,AVI,40.641235,-73.778263
186,04:50,LAS, MEX,15:50,19731,AVI,36.084026,-115.153889
187,04:50,LAX, MEX,11:10,10928,AVI,33.941562,-118.408412
188,04:50,MIA, MEX,11:40,10327,AVI,25.795814,-80.287169
189,04:50,MUC, MEX,16:32,12046,AVI,48.353598,11.775135
190,04:50,SFO, MEX,19:05,8183,AVI,37.621313,-122.378988
191,04:50,YUL, MEX,17:15,17022,AVI,45.46561,-73.745299
192,04:50,YYZ, MEX,13:50,11765,AVI,43.677764,-79.624959
193,05:00,BCN, MEX,09:15,9001,AVI,41.297781,2.08353
194,05:00,JFK, MEX,01:30,22156,AVI,40.641235,-73.778263
195,05:00,MAD, MEX,05:00,8601,AVI,40.498324,-3.567469
196,05:00,MIA, MEX,00:30,15716,AVI,25.795814,-80.287169
197,05:00,MUC, MEX,11:25,12046,AVI,48.353598,11.775135
198,08:20,BCN, MEX,12:50,26853,AVI,41.297781,2.08353
199,08:20,MAD, MEX,10:50,26552,AVI,40.498324,-3.567469
200,08:20,MIA, MEX,00:30,17299,AVI,25.795814,-80.287169
201,08:20,MUC, MEX,17:25,27135,AVI,48.353598,11.775135
202,08:20,YYZ, MEX,13:50,43061,AVI,43.677764,-79.624959
203,08:35,BCN, MEX,12:50,18578,AVI,41.297781,2.08353
204,08:35,LAS, MEX,21:57,25662,AVI,36.084026,-115.153889
205,08:35,MAD, MEX,12:25,18178,AVI,40.498324,-3.567469
206,08:35,SFO, MEX,00:15,15055,AVI,37.621313,-122.378988
207,10:05,BCN, MEX,12:50,18278,AVI,41.297781,2.08353
208,10:05,DEN, MEX,10:01,23438,AVI,39.856121,-104.673641
209,10:05,LAS, MEX,21:57,33056,AVI,36.084026,-115.153889
210,10:05,LAX, MEX,18:25,16478,AVI,33.941562,-118.408412
211,10:05,MAD, MEX,12:25,17876,AVI,40.498324,-3.567469
212,10:05,SFO, MEX,00:15,10588,AVI,37.621313,-122.378988
213,13:40,MUC, MEX,16:32,27654,AVI,48.353598,11.775135
214,13:50,BCN, MEX,12:50,9001,AVI,41.297781,2.08353
215,13:50,JFK, MEX,02:50,23610,AVI,40.641235,-73.778263
216,13:50,MAD, MEX,12:25,8601,AVI,40.498324,-3.567469
217,13:50,MIA, MEX,00:30,16116,AVI,25.795814,-80.287169
218,13:50,MUC, MEX,16:32,12046,AVI,48.353598,11.775135
219,13:50,XOC, MEX,19:10,13629,AVI,40.4075,-3.6917
220,13:50,YJB, MEX,18:40,14029,AVI,41.3789,2.14
221,13:50,YYZ, MEX,13:50,44323,AVI,43.677764,-79.624959
222,16:45,HAV, MEX,12:00,29186,AVI,22.991455,-82.410321
223,16:45,LAX, MEX,11:10,21316,AVI,33.941562,-118.408412
224,16:45,YYZ, MEX,13:50,32493,AVI,43.677764,-79.624959
225,16:50,DEN, MEX,10:12,23438,AVI,39.856121,-104.673641
226,16:50,JFK, MEX,01:30,7182,AVI,40.641235,-73.778263
227,16:50,MCO, MEX,12:20,22969,AVI,28.431205,-81.308008
228,16:50,MUC, MEX,16:32,18204,AVI,48.353598,11.775135
229,16:50,SFO, MEX,00:15,12591,AVI,37.621313,-122.378988
230,18:30,HAV, MEX,11:45,15352,AVI,22.991455,-82.410321
231,18:30,MCO, MEX,12:20,19963,AVI,28.431205,-81.308008
232,18:30,MIA, MEX,10:30,17900,AVI,25.795814,-80.287169
233,21:40,CUN, MEX,11:25,20645,AVI,21.040358,-86.873455
234,21:40,HAV, MEX,12:00,29186,AVI,22.991455,-82.410321
235,21:40,LAX, MEX,11:10,21316,AVI,33.941562,-118.408412
236,21:40,YYZ, MEX,13:50,32493,AVI,43.677764,-79.624959
237,23:20,HAV, MEX,15:45,14070,AVI,22.991455,-82.410321
238,23:20,JFK, MEX,11:50,28118,AVI,40.641235,-73.778263
239,23:20,MAD, MEX,05:00,13048,AVI,40.498324,-3.567469
240,23:20,MCO, MEX,12:20,22969,AVI,28.431205,-81.308008
241,23:20,MIA, MEX,10:30,19935,AVI,25.795814,-80.287169
242,23:55,HAV, MEX,15:45,16615,AVI,22.991455,-82.410321
243,05:40,BCN,MEX,10:10,59435,UAL,41.297781,2.08353
244,05:40,DEN,MEX,11:21,4591,UAL,39.856121,-104.673641
245,05:40,EWR,MEX,14:50,7818,UAL,40.689588,-74.17443
246,05:40,LAS,MEX,11:19,6281,UAL,36.084026,-115.153889
247,05:40,LAX,MEX,11:30,6473,UAL,33.941562,-118.408412
248,05:40,LGA,MEX,16:47,9220,UAL,40.777065,-73.873987
249,05:40,MAD,MEX,12:45,62509,UAL,40.498324,-3.567469
250,05:40,MCO,MEX,12:50,5052,UAL,28.431205,-81.308008
251,05:40,MIA,MEX,19:08,29179,UAL,25.795814,-80.287169
252,05:40,MUC,MEX,07:40,59531,UAL,48.353598,11.775135
253,05:40,ORD,MEX,12:40,9374,UAL,41.974166,-87.9073
254,05:40,SFO,MEX,12:05,9374,UAL,37.621313,-122.378988
255,05:40,YUL,MEX,16:35,5301,UAL,45.46561,-73.745299
256,05:40,YYZ,MEX,16:22,7568,UAL,43.677764,-79.624959
257,06:05,BCN,MEX,14:40,70731,UAL,41.297781,2.08353
258,06:05,DEN,MEX,14:28,12870,UAL,39.856121,-104.673641
259,06:05,EWR,MEX,19:40,24492,UAL,40.689588,-74.17443
260,06:05,LAS,MEX,14:42,10680,UAL,36.084026,-115.153889
261,06:05,LAX,MEX,12:24,8932,UAL,33.941562,-118.408412
262,06:05,MAD,MEX,14:35,73727,UAL,40.498324,-3.567469
263,06:05,SFO,MEX,09:05,9259,UAL,37.621313,-122.378988
264,06:05,YYZ,MEX,19:45,27374,UAL,43.677764,-79.624959
