,Hora_Salida,Destino,Origen,Hora_Llegada,Desde
0,05:40,DEN,MEX,11:21,234
1,05:40,EWR,MEX,14:50,402
2,05:40,LAS,MEX,11:19,249
3,05:40,LAX,MEX,11:30,332
4,05:40,LGA,MEX,16:47,402
5,05:40,MAD,MEX,12:45,3254
6,05:40,MCO,MEX,12:50,143
7,05:40,MIA,MEX,12:59,345
8,05:40,MUC,MEX,07:40,3099
9,05:40,ORD,MEX,12:40,483
10,05:40,SFO,MEX,12:05,483
11,05:40,YUL,MEX,16:35,219
12,05:40,YYZ,MEX,16:22,285
13,06:05,DEN,MEX,14:28,234
14,06:05,EWR,MEX,19:40,1265
15,06:05,LAS,MEX,14:42,374
16,06:05,LAX,MEX,12:24,332
17,06:05,MAD,MEX,14:35,3838
18,06:05,SFO,MEX,09:05,477
19,06:05,YYZ,MEX,19:45,1420
20,06:35,MUC,MEX,09:45,3099
21,07:50,DEN,MEX,13:26,255
22,07:50,EWR,MEX,19:10,402
23,07:50,LAS,MEX,15:50,249
24,07:50,LAX,MEX,13:40,332
25,07:50,LGA,MEX,16:47,402
26,07:50,MAD,MEX,12:45,3254
27,07:50,MCO,MEX,15:18,143
28,07:50,MIA,MEX,22:06,1504
29,07:50,MUC,MEX,09:45,3099
30,07:50,ORD,MEX,14:46,483
31,07:50,SFO,MEX,14:30,483
32,08:10,DEN,MEX,16:08,1196
33,08:10,EWR,MEX,17:45,1200
34,08:10,LAS,MEX,21:52,1228
35,08:10,LAX,MEX,20:25,1234
36,08:10,LGA,MEX,19:14,402
37,08:10,MCO,MEX,21:53,340
38,08:10,MIA,MEX,23:59,1246
39,08:10,ORD,MEX,12:20,477
40,08:10,SFO,MEX,18:28,1321
41,08:10,YUL,MEX,18:02,570
42,08:10,YYZ,MEX,20:37,337
43,09:05,DEN,MEX,19:26,1783
44,09:05,EWR,MEX,14:50,396
45,09:05,MCO,MEX,22:28,1681
46,09:05,MIA,MEX,22:06,1662
47,09:05,MUC,MEX,07:20,3099
48,09:05,ORD,MEX,18:42,1666
49,09:05,SFO,MEX,20:26,1712
50,09:05,YUL,MEX,20:42,570
51,09:05,YYZ,MEX,21:50,396
52,09:40,DEN,MEX,17:57,1151
53,09:40,EWR,MEX,20:53,1106
54,09:40,LAS,MEX,20:12,1191
55,09:40,LGA,MEX,18:49,402
56,09:40,MCO,MEX,19:51,266
57,09:40,MIA,MEX,23:59,1139
58,09:40,MUC,MEX,07:40,3099
59,09:40,ORD,MEX,18:26,1106
60,09:40,SFO,MEX,19:55,1262
61,09:40,YUL,MEX,23:59,434
62,10:05,DEN,MEX,17:57,255
63,10:05,LAS,MEX,21:02,249
64,10:05,LAX,MEX,17:06,332
65,10:05,LGA,MEX,19:12,402
66,10:05,MCO,MEX,17:50,143
67,10:05,ORD,MEX,18:22,483
68,10:05,SFO,MEX,19:04,483
69,11:00,DEN,MEX,21:01,1783
70,11:00,MCO,MEX,22:28,1681
71,11:00,MIA,MEX,23:59,1662
72,11:00,MUC,MEX,10:25,3099
73,11:00,ORD,MEX,22:04,1648
74,11:00,SFO,MEX,22:35,1712
75,11:00,YYZ,MEX,21:50,285
76,12:05,DEN,MEX,17:57,743
77,12:05,LAS,MEX,21:02,280
78,12:05,LAX,MEX,19:45,332
79,12:05,MCO,MEX,19:34,201
80,12:05,ORD,MEX,19:46,483
81,12:05,SFO,MEX,20:43,483
82,13:50,LAS,MEX,21:45,249
83,13:50,ORD,MEX,01:35,1232
84,13:55,EWR,MEX,19:40,396
85,13:55,MUC,MEX,07:20,3099
86,14:40,LAS,MEX,23:11,1228
87,14:40,MUC,MEX,09:35,3099
88,14:40,SFO,MEX,23:51,1232
89,14:40,YUL,MEX,09:16,434
90,14:40,YYZ,MEX,23:49,337
91,15:05,LAS,MEX,23:17,1214
92,15:05,MCO,MEX,22:57,647
93,15:05,MIA,MEX,23:29,1202
94,15:05,ORD,MEX,22:37,691
95,15:05,SFO,MEX,23:50,795
96,17:35,LAS,MEX,09:16,550
97,17:35,MUC,MEX,09:45,3099
98,17:35,ORD,MEX,23:59,483
99,17:35,YUL,MEX,13:00,374
100,17:35,YYZ,MEX,11:54,547
