,Hora_Salida,Destino,Origen,Hora_Llegada,Desde,Lat,Lon
93,13:00,CUN,MEX,20:55,14180,21.040357999999998,-86.873455
94,13:15,JFK,MEX,22:32,33745,40.641234999999995,-73.778263
95,13:15,LAX,MEX,22:40,19888,33.941562,-118.40841200000001
96,13:15,ORD,MEX,20:38,17678,41.974166,-87.9073
97,13:20,DEN,MEX,22:10,8077,39.856121,-104.673641
98,13:20,JFK,MEX,21:51,14096,40.641234999999995,-73.778263
99,13:20,MCO,MEX,20:59,10984,28.431205,-81.308008
100,13:20,MIA,MEX,00:35,10984,25.795814,-80.28716899999999
101,13:20,ORD,MEX,21:13,9490,41.974166,-87.9073
102,13:20,SFO,MEX,22:37,9490,37.621313,-122.37898799999999
103,13:30,CUN,MEX,17:00,3605,21.040357999999998,-86.873455
104,13:30,MAD,MEX,13:45,64640,40.498324,-3.5674690000000004
105,13:50,MCO,MEX,18:05,5653,28.431205,-81.308008
106,13:55,LAX,MEX,16:15,6412,33.941562,-118.40841200000001
107,14:00,CUN,MEX,20:55,8192,21.040357999999998,-86.873455
108,14:20,ORD,MEX,21:47,9490,41.974166,-87.9073
109,14:40,CUN,MEX,18:05,3373,21.040357999999998,-86.873455
110,14:40,MAD,MEX,13:45,64640,40.498324,-3.5674690000000004
111,15:00,CUN,MEX,20:55,8192,21.040357999999998,-86.873455
112,15:00,JFK,MEX,20:54,5429,40.641234999999995,-73.778263
113,15:25,YUL,MEX,21:45,4396,45.46561,-73.745299
114,15:30,CUN,MEX,19:00,4127,21.040357999999998,-86.873455
115,15:30,MAD,MEX,13:45,64640,40.498324,-3.5674690000000004
116,15:40,DEN,MEX,22:05,6440,39.856121,-104.673641
117,15:40,JFK,MEX,05:35,14096,40.641234999999995,-73.778263
118,15:40,LAS,MEX,21:21,10821,36.084026,-115.15388899999999
119,15:40,LAX,MEX,21:20,8058,33.941562,-118.40841200000001
120,15:40,SFO,MEX,23:50,9490,37.621313,-122.37898799999999
121,16:00,MCO,MEX,00:07,9756,28.431205,-81.308008
122,16:00,MIA,MEX,00:35,10984,25.795814,-80.28716899999999
123,16:00,ORD,MEX,23:44,9379,41.974166,-87.9073
124,16:30,ORD,MEX,23:59,9379,41.974166,-87.9073
125,16:45,LAX,MEX,19:08,6412,33.941562,-118.40841200000001
126,17:00,ORD,MEX,23:59,9379,41.974166,-87.9073
127,17:30,CUN,MEX,20:55,4823,21.040357999999998,-86.873455
128,17:40,YYZ,MEX,23:30,4893,43.677764,-79.62495899999999
129,18:10,JFK,MEX,00:10,8458,40.641234999999995,-73.778263
130,18:25,BCN,MEX,17:05,37807,41.297781,2.08353
131,18:30,CUN,MEX,22:00,4475,21.040357999999998,-86.873455
132,18:30,SFO,MEX,21:45,9379,37.621313,-122.37898799999999
133,18:45,BCN,MEX,16:25,37758,41.297781,2.08353
134,18:45,MAD,MEX,12:30,37561,40.498324,-3.5674690000000004
135,18:45,MUC,MEX,17:35,26128,48.353598,11.775135
136,18:50,HAV,MEX,22:45,8143,22.991455,-82.410321
137,19:00,CUN,MEX,22:25,3837,21.040357999999998,-86.873455
138,19:00,JFK,MEX,12:10,27084,40.641234999999995,-73.778263
139,19:00,MCO,MEX,13:19,34461,28.431205,-81.308008
140,19:00,MIA,MEX,23:20,5245,25.795814,-80.28716899999999
141,19:00,ORD,MEX,13:16,28546,41.974166,-87.9073
142,19:30,CUN,MEX,23:00,3373,21.040357999999998,-86.873455
143,19:30,DEN,MEX,19:06,28689,39.856121,-104.673641
144,19:30,JFK,MEX,12:10,27084,40.641234999999995,-73.778263
145,19:30,MCO,MEX,13:19,34461,28.431205,-81.308008
146,19:30,MIA,MEX,15:59,26028,25.795814,-80.28716899999999
147,19:30,ORD,MEX,13:16,28218,41.974166,-87.9073
148,19:30,SFO,MEX,17:36,30203,37.621313,-122.37898799999999
149,19:40,LAS,MEX,10:15,9388,36.084026,-115.15388899999999
150,19:40,LAX,MEX,22:00,7025,33.941562,-118.40841200000001
151,20:00,CUN,MEX,14:20,14180,21.040357999999998,-86.873455
152,20:00,JFK,MEX,14:30,16235,40.641234999999995,-73.778263
153,20:00,LAS,MEX,14:13,10821,36.084026,-115.15388899999999
154,20:00,LAX,MEX,10:15,6412,33.941562,-118.40841200000001
155,20:00,SFO,MEX,10:50,9379,37.621313,-122.37898799999999
156,21:00,CUN,MEX,14:20,8192,21.040357999999998,-86.873455
157,21:00,DEN,MEX,15:14,4599,39.856121,-104.673641
158,21:00,JFK,MEX,14:30,8569,40.641234999999995,-73.778263
159,21:00,LAS,MEX,14:13,5191,36.084026,-115.15388899999999
160,21:00,LAX,MEX,10:15,6412,33.941562,-118.40841200000001
161,21:00,ORD,MEX,16:16,9490,41.974166,-87.9073
162,21:00,SFO,MEX,10:50,9379,37.621313,-122.37898799999999
163,21:35,CUN,MEX,00:55,3605,21.040357999999998,-86.873455
164,21:35,DEN,MEX,15:14,28689,39.856121,-104.673641
165,21:35,JFK,MEX,12:10,27084,40.641234999999995,-73.778263
166,21:35,MCO,MEX,13:19,34461,28.431205,-81.308008
167,21:35,MIA,MEX,15:59,26028,25.795814,-80.28716899999999
168,21:35,ORD,MEX,13:16,28546,41.974166,-87.9073
169,21:35,SFO,MEX,17:36,30203,37.621313,-122.37898799999999
170,21:55,MUC,MEX,19:15,26147,48.353598,11.775135
